week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2019-02-18/2019-02-24,196001,1332,98000.5,666.0
2019-02-25/2019-03-03,469030,4271,234515.0,2135.5
2019-03-04/2019-03-10,653702,6767,217900.66666666666,2255.6666666666665
2019-03-11/2019-03-17,1218062,13440,243612.4,2688.0
2019-03-18/2019-03-24,505645,4959,252822.5,2479.5
2019-03-25/2019-03-31,491702,1757,163900.66666666666,585.6666666666666
2019-04-01/2019-04-07,726307,5802,181576.75,1450.5
2019-04-08/2019-04-14,469366,2310,234683.0,1155.0
2019-04-15/2019-04-21,778923,6775,259641.0,2258.3333333333335
2019-04-22/2019-04-28,1071527,7531,178587.83333333334,1255.1666666666667
2019-04-29/2019-05-05,476432,4109,238216.0,2054.5
2019-06-17/2019-06-23,291223,5633,291223.0,5633.0
2019-06-24/2019-06-30,116033,897,116033.0,897.0
2019-07-01/2019-07-07,124417,498,124417.0,498.0
2019-07-08/2019-07-14,324137,1344,162068.5,672.0
2019-07-15/2019-07-21,619723,4628,206574.33333333334,1542.6666666666667
2019-07-22/2019-07-28,143145,1200,143145.0,1200.0
2019-07-29/2019-08-04,429786,3559,214893.0,1779.5
2019-08-05/2019-08-11,404208,3353,202104.0,1676.5
2019-08-12/2019-08-18,385751,2321,192875.5,1160.5
2019-08-19/2019-08-25,558574,4083,279287.0,2041.5
2019-08-26/2019-09-01,434001,5202,217000.5,2601.0
2019-09-02/2019-09-08,542072,5615,180690.66666666666,1871.6666666666667
2019-09-09/2019-09-15,455266,5636,227633.0,2818.0
2019-09-16/2019-09-22,1016470,8383,254117.5,2095.75
2019-09-23/2019-09-29,769571,6367,192392.75,1591.75
2019-09-30/2019-10-06,283859,2654,141929.5,1327.0
2019-10-14/2019-10-20,354961,2166,354961.0,2166.0
2019-10-21/2019-10-27,294422,2184,294422.0,2184.0
2019-10-28/2019-11-03,134367,804,134367.0,804.0
2019-11-18/2019-11-24,1868825,53528,622941.6666666666,17842.666666666668
2020-03-02/2020-03-08,269527,3261,269527.0,3261.0
2020-07-20/2020-07-26,204225,2200,204225.0,2200.0
2020-08-03/2020-08-09,148302,2364,148302.0,2364.0
2020-11-02/2020-11-08,338053,2811,338053.0,2811.0
2021-01-11/2021-01-17,956450,6693,478225.0,3346.5
2021-01-18/2021-01-24,384543,2807,384543.0,2807.0
2021-02-01/2021-02-07,359560,2675,179780.0,1337.5
2021-02-08/2021-02-14,274270,1174,274270.0,1174.0
2021-02-15/2021-02-21,365004,1937,182502.0,968.5
2021-03-01/2021-03-07,1126324,9951,563162.0,4975.5
2021-03-08/2021-03-14,297809,2170,297809.0,2170.0
2021-03-15/2021-03-21,648950,4849,324475.0,2424.5
2021-03-29/2021-04-04,425360,3034,425360.0,3034.0
2021-04-05/2021-04-11,298922,2250,298922.0,2250.0
2021-04-12/2021-04-18,799234,6711,799234.0,6711.0
2021-05-03/2021-05-09,601971,5203,601971.0,5203.0
2021-06-07/2021-06-13,472649,3601,236324.5,1800.5
2021-06-14/2021-06-20,406232,2613,203116.0,1306.5
2021-06-21/2021-06-27,283190,2029,283190.0,2029.0
2021-06-28/2021-07-04,374679,3181,374679.0,3181.0
2021-08-16/2021-08-22,539167,19218,539167.0,19218.0
2021-08-23/2021-08-29,215781,1146,215781.0,1146.0
2021-09-13/2021-09-19,424434,2524,424434.0,2524.0
2021-09-20/2021-09-26,220236,1227,110118.0,613.5
2021-09-27/2021-10-03,418411,2663,418411.0,2663.0
2021-10-04/2021-10-10,92561,593,92561.0,593.0
2021-10-11/2021-10-17,572961,3384,190987.0,1128.0
2021-10-18/2021-10-24,468895,3247,234447.5,1623.5
2021-10-25/2021-10-31,172543,1419,172543.0,1419.0
2021-11-08/2021-11-14,270700,1220,270700.0,1220.0
2021-11-15/2021-11-21,206181,1537,206181.0,1537.0
2021-11-22/2021-11-28,213586,998,213586.0,998.0
2021-11-29/2021-12-05,696794,5070,348397.0,2535.0
2021-12-06/2021-12-12,232441,1515,116220.5,757.5
2021-12-13/2021-12-19,568300,3832,189433.33333333334,1277.3333333333333
2021-12-20/2021-12-26,524435,4519,131108.75,1129.75
2022-01-03/2022-01-09,511002,3023,170334.0,1007.6666666666666
2022-01-10/2022-01-16,206508,1549,103254.0,774.5
2022-01-17/2022-01-23,110045,504,110045.0,504.0
2022-01-24/2022-01-30,615002,10005,205000.66666666666,3335.0
2022-01-31/2022-02-06,290410,1951,290410.0,1951.0
2022-02-07/2022-02-13,124181,937,124181.0,937.0
2022-02-14/2022-02-20,388713,4857,388713.0,4857.0
2022-02-21/2022-02-27,145888,1409,145888.0,1409.0
2022-03-07/2022-03-13,152293,863,76146.5,431.5
2022-03-21/2022-03-27,270875,2086,135437.5,1043.0
2022-03-28/2022-04-03,55573,593,55573.0,593.0
2022-04-04/2022-04-10,242821,2155,121410.5,1077.5
2022-04-11/2022-04-17,97680,658,97680.0,658.0
2022-04-18/2022-04-24,83939,854,83939.0,854.0
2022-05-02/2022-05-08,467911,3848,233955.5,1924.0
2022-05-23/2022-05-29,65993,118,65993.0,118.0
2022-05-30/2022-06-05,168735,1192,168735.0,1192.0
2022-06-06/2022-06-12,72461,562,72461.0,562.0
2022-06-13/2022-06-19,308454,1748,308454.0,1748.0
2022-06-20/2022-06-26,512551,4064,170850.33333333334,1354.6666666666667
2022-06-27/2022-07-03,96025,658,96025.0,658.0
2022-07-04/2022-07-10,65417,589,65417.0,589.0
2022-07-18/2022-07-24,53543,528,53543.0,528.0
2022-08-01/2022-08-07,171075,1196,85537.5,598.0
2022-08-08/2022-08-14,183941,1413,91970.5,706.5
2022-08-15/2022-08-21,128915,1200,128915.0,1200.0
2022-08-22/2022-08-28,672590,4761,336295.0,2380.5
2022-08-29/2022-09-04,254627,1852,127313.5,926.0
2022-09-12/2022-09-18,118440,1129,59220.0,564.5
2022-10-17/2022-10-23,248331,2147,124165.5,1073.5
2022-10-24/2022-10-30,447987,2248,223993.5,1124.0
2022-10-31/2022-11-06,73321,595,73321.0,595.0
2022-11-14/2022-11-20,245256,1314,245256.0,1314.0
2022-11-21/2022-11-27,288745,1206,288745.0,1206.0
2022-11-28/2022-12-04,540352,4451,270176.0,2225.5
2022-12-05/2022-12-11,165822,1155,165822.0,1155.0
2022-12-12/2022-12-18,215014,1847,107507.0,923.5
2022-12-19/2022-12-25,572803,4610,143200.75,1152.5
2022-12-26/2023-01-01,65027,683,65027.0,683.0
2023-01-02/2023-01-08,181259,1387,90629.5,693.5
2023-01-09/2023-01-15,59181,762,59181.0,762.0
2023-01-30/2023-02-05,167056,1682,83528.0,841.0
2023-02-06/2023-02-12,244293,2790,122146.5,1395.0
2023-02-13/2023-02-19,40636,816,40636.0,816.0
2023-02-20/2023-02-26,98409,1473,98409.0,1473.0
2023-03-06/2023-03-12,344174,4372,172087.0,2186.0
2023-03-13/2023-03-19,206851,2808,206851.0,2808.0
2023-03-27/2023-04-02,379223,10550,189611.5,5275.0
2023-04-03/2023-04-09,60962,1600,60962.0,1600.0
